21st Century COE Program (Topological Science and Technology)	10.3731
AACN Publishing	10.4037
AAPG/Datapages	10.1306
AB Svensk Papperstidning	10.3183
ABEAT - Associacao Brasileira de Especialistas em Alta Tecnologia	10.5769
Aboriginal Policy Studies	10.5663
Academic and Scientific Publishers	10.5689
Academic Journals	10.5897
Academic Society of Technology Management	10.2107
Academy and Industry Research Collaboration Center (AIRCC)	10.5121
Academy of Sciences and Arts of Bosnia anad Herzegovina	10.5644
Academy of Sciences and Arts of the Republic of Srpska	10.5767
Academy Publisher	10.4304
Acarological Society of Japan, The	10.2300
Accademia Italiana di Scienze Forestali	10.4129
Acoustical Society of America (ASA)	10.1121
Acoustical Society of Japan	10.1250
Acta Dermato-Venereologica	10.2340
Acta Ecologica Sinica	10.5846
ACTA Endocrinologica Foundation	10.4183
Acta Medica Saliniana	10.5457
Acta Physica Polonica B Editorial Office	10.5506
ACTA Press	10.2316
Advanced Research Journals	10.5138
AEPress, s.r.o.	10.4149
Aequitas Publishing	10.4059
Aerospace Medical Association	10.3357
African Journals Online (AJOL)	10.4314
Agricultural History Society	10.3098
Agricultural Institute of Canada	10.4141
AICIT	10.4156
Air & Waste Management Association	10.3155
Airiti Press, Inc.	10.5297
AIS Educator Association	10.3194
AITO - Association Internationale pour les Technologies Objets	10.5381
AJIT-E Academic Journal of Information Technology	10.5824
Akademi Doktolar Yayinevi	10.4999
Akademiai Kiado RT	10.1556
Akademik Acil Tip Dergisi (Journal of Academic Emergency Medicine)	10.4170
Alan Guttmacher Institute	10.1363
Alaska Sea Grant	10.4027
Alexandrine Press	10.2148
Algorithmic Finance, LLC	10.5619
Allen Press	10.1043
Allerton Press	10.3103
Alphamed Press	10.1634
ALPSP(Association of Learned and Professional Society Publishers)	10.1087
American Academy of Audiology	10.3766
American Academy of Implant Dentistry	10.1563
American Academy of Orthopaedic Surgeons	10.5435
American Academy of Pediatrics	10.1542
American Academy of Periodontology	10.1902
American Academy of Sleep Medicine (AASM)	10.5664
American Accounting Association	10.2308
American Alliance for Health, Physical Education, Recreation and Dance	10.5641
American Animal Hospital Association	10.5326
American Association for Agricultural Education	10.5032
American Association for Cancer Research	10.1158
American Association for Clinical Chemistry	10.1373
American Association for the Advancement of Science (AAAS)	10.1126
American Association of Clinical Endocrinologists (AACE)	10.4158
American Association of Pharmaceutical Scientists	10.1208
American Association of Physicists in Medicine (AAPM)	10.1118
American Association of Physics Teachers (AAPT)	10.1119
American Association of Sugarbeet Technologist	10.5274
American Association on Intellectual and Developmental Disabilities	10.1352
American Astronomical Society	10.3847
American Board of Family Medicine	10.3122
American Chemical Society (ACS)	10.1021
American Cleft Palate Association	10.1597
American College of Chest Physicians	10.1378
American College of Medical Physics (ACMP)	10.1120
American College of Veterinary Pathologists	10.1354
American Dairy Science Association	10.3168
American Dental Society of Anethesiology	10.2344
American Diabetes Association	10.2337
American Economic Association	10.1257
American Educational Research Association	10.3102
American Epilepsy Society	10.5698
American Fisheries Society	10.1577
American Geophysical Union (AGU)	10.1029
American Helicopter Society	10.4050
American Industrial Hygiene Association	10.1202
American Industrial Hygiene Association (AIHA)	10.3320
American Institute of Aeronautics and Astronautics	10.2514
American Institute of Mathematical Sciences (AIMS)	10.3934
American Institute of Physics (AIP)	10.1063
American Journal of Comparative Law	10.5131
American Journal of Health Promotion	10.4278
American Journal of Pharmaceutical Education	10.5688
American Journal of Science	10.2475
American Library Association	10.5860
American Marketing Association	10.1509
American Mathematical Society (AMS)	10.1090
American Medical Association	10.1001
American Meteorological Society	10.1175
American Museum of Natural History	10.5531
American Peanut Research & Education Society	10.3146
American Pharmacists Association	10.1331
American Physical Society (APS)	10.1103
American Physical Therapy Association	10.2522
American Physiological Society	10.1152
American Psychiatric Publishing	10.1176
American Psychological Association (APA)	10.1037
American Public Health Association	10.2105
American Roentgen Ray Society	10.2214
American School Counselor Association	10.5330
American School of Classical Studies at Athens, The	10.2972
American Scientific Publishers	10.1166
American Scientist	10.1511
American Society for Aesthetics	10.4299
American Society for Biochemistry and Molecular Biology (ASBMB)	10.1074
American Society for Biochemistry and Molecular Biology (Journal of Lipid Research)	10.1194
American Society for Cell Biology	10.1091
American Society for Cell Biology	10.1187
American Society for Cell Biology	10.1091
American Society for Cell Biology	10.1187
American Society for Clinical Investigation	10.1172
American Society for Clinical Pathology	10.1309
American Society for Enology and Viticulture	10.5344
American Society for Microbiology	10.1128
American Society for Nutrition	10.3945
